id,name,city,lon,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1318A,银行学校,郑州,113.675,34.8019,20180531,53.0,3012.0,6436.0,1561770.203375694,724118.4702023983,92,1.0638532638549805,202.60276794433594,295.1531677246094,99978.0,0.000996188959106803,254.6545867919922,-1.810274443414528e-05,59.754520416259766,-0.4088696837425232,0.9821452498435974,0.7494682669639587,3207
1319A,供水公司,郑州,113.564,34.802,20180531,43.17241379310346,3012.0,6418.0,1552596.174576395,722371.2195833377,112,1.017172932624817,205.0238494873047,294.9534606933594,99591.1015625,0.0009549686219543219,246.71136474609375,-1.8191622075391933e-05,59.567298889160156,-0.4302477538585663,0.921698272228241,0.7597522139549255,3422
1320A,经开区管委,郑州,113.727,34.7187,20180531,54.120689655172406,3025.0,6444.0,1567967.7062967168,715090.1755472538,100,1.0895535945892334,196.09239196777344,294.952880859375,99582.03125,0.0009529100498184562,259.5988464355469,-1.6719170162105e-05,60.88371276855469,-0.30200138688087463,1.0468629598617554,0.7805981636047363,2643
1321A,四十七中,郑州,113.734,34.719,20180531,45.80357142857143,3025.0,6445.0,1568539.8240689777,715237.432513614,99,1.0934139490127563,196.2845458984375,294.95745849609375,99595.8125,0.0009512246469967067,260.0697937011719,-1.6710993804736063e-05,60.88909149169922,-0.3065929710865021,1.0495498180389404,0.7184471487998962,2085
1323A,河医大,郑州,113.6356,34.7538,20180531,47.24193548387096,3019.0,6430.0,1559608.9275199582,717793.6263435954,107,1.0527423620224,199.19155883789062,294.91448974609375,99541.9296875,0.0009707448189146817,253.4100799560547,-1.7099000615417026e-05,60.38738250732422,-0.34605568647384644,0.9942394495010376,0.7136536836624146,2585
1324A,岗李水库,郑州,113.6113,34.9162,20180531,44.81666666666667,2993.0,6426.0,1553909.9835182982,736654.428241981,93,0.9948848485946655,216.44741821289062,295.2675476074219,99934.1171875,0.0010230517946183681,246.73294067382812,-2.0927793229930103e-05,57.73311996459961,-0.5910308361053467,0.8002989292144775,0.6947789788246155,4948
1325A,东湖梨园,武汉,114.3672,30.5719,20180531,33.55,3689.0,6547.0,1718247.761404337,237929.37917637927,27,0.9791398644447327,286.2913513183594,296.1230163574219,100659.8515625,0.0043387277983129025,233.3740997314453,-3.991442281403579e-05,75.10547637939453,-0.9398401975631714,-0.2746184170246124,0.731802761554718,1966
1326A,汉阳月湖,武汉,114.2511,30.5514,20180531,28.983870967741932,3692.0,6528.0,1708555.2332756524,233510.49010548496,31,0.9624752402305603,284.8385009765625,296.1104431152344,100637.78125,0.004127970430999994,244.66627502441406,-4.112564056413248e-05,74.56018829345703,-0.9303913712501526,-0.2464355081319809,0.7346750497817993,2661
1327A,汉口花桥,武汉,114.2836,30.6197,20180531,33.83870967741935,3681.0,6533.0,1709816.336427084,242054.53221182252,29,0.916704535484314,285.986572265625,295.9972839355469,100654.734375,0.004531813319772482,235.67672729492188,-3.6442990676732734e-05,74.89331817626953,-0.8812658786773682,-0.2524235248565674,0.7384904026985168,1793
1328A,武昌紫阳,武汉,114.3006,30.5494,20180531,28.5,3692.0,6536.0,1712938.3203224107,234138.70984583374,38,0.984851598739624,285.4363708496094,296.149169921875,100657.4765625,0.004156910348683596,240.65858459472656,-4.105800690012984e-05,74.77271270751953,-0.9493388533592224,-0.2620847225189209,0.7322908043861389,2465
