bathrooms,sqft_living,sqft_lot,grade,condition,waterfront,view,age,lon,lat
0.9965,0.9495,0.8035,1.0,0.877,0.918,0.9925,0.8335,0.8765,1.0
0.9995,1.0,0.998,1.0,0.9625,0.9785,0.9975,0.998,0.9765,0.999
1.0,1.0,0.993,1.0,0.8665,0.975,0.9945,0.9985,0.9995,1.0
0.9575,0.9935,0.9565,1.0,0.434,0.932,0.995,0.95,0.2655,0.9955
0.991,0.997,0.9955,1.0,0.9415,0.9135,0.98,0.998,0.986,1.0
0.996,0.9805,0.8165,0.999,0.8025,0.874,0.9965,0.7405,0.943,0.996
0.9995,0.998,0.9725,1.0,0.713,0.939,0.9985,0.9515,0.949,0.9995
1.0,1.0,0.971,1.0,0.826,0.9415,0.9975,0.999,0.994,1.0
0.9835,0.964,0.9415,0.3495,0.647,0.9315,0.9985,0.818,0.467,0.971
0.659,0.9845,0.453,0.9965,0.461,0.8285,0.996,0.695,0.639,0.973
1.0,1.0,0.992,1.0,0.778,0.9095,0.9965,0.9815,0.4845,0.9995
0.999,0.9865,0.796,1.0,0.807,0.9215,0.9985,0.928,0.966,0.9995
0.84,0.487,0.736,1.0,0.4355,0.8435,0.9695,0.637,0.4305,0.8515
0.956,0.687,0.8055,0.445,0.5295,0.7885,0.9915,0.7405,0.709,0.8815
0.999,0.9995,0.6975,1.0,0.7085,0.928,0.987,0.9805,0.9485,1.0
0.9425,0.999,0.8575,1.0,0.763,0.942,0.999,0.9145,0.998,0.9995
0.7635,0.642,0.255,0.995,0.5035,0.716,0.9915,0.6585,0.444,0.9655
0.9455,0.605,0.95,0.9845,0.5185,0.7915,0.99,0.8125,0.942,0.99
0.957,0.998,0.981,0.989,0.829,0.9555,0.9875,0.945,0.8205,1.0
0.998,0.9975,0.785,1.0,0.819,0.9425,0.999,0.955,0.8665,0.9965
1.0,0.983,0.7365,1.0,0.794,0.876,0.9985,0.9115,0.5355,0.999
0.9,0.974,0.977,0.9995,0.8115,0.8845,0.9935,0.8245,0.894,0.9995
1.0,1.0,0.9615,1.0,0.8515,0.938,0.999,0.9985,0.97,1.0
0.971,0.9485,0.8725,1.0,0.509,0.9405,0.9855,0.936,0.827,1.0
0.999,1.0,0.9645,1.0,0.572,0.955,0.998,0.9795,0.9975,1.0
0.989,0.999,0.957,1.0,0.8505,0.947,0.9985,0.948,0.95,0.9995
0.9135,0.967,0.9745,0.997,0.688,0.9275,0.9975,0.865,0.942,0.986
0.8285,0.8405,0.919,0.9965,0.632,0.9,0.9855,0.815,0.986,0.997
0.7695,0.636,0.622,0.9995,0.5945,0.71,0.9895,0.508,0.9325,0.9195
1.0,0.996,0.9895,1.0,0.821,0.921,0.9875,0.99,0.993,1.0
